term,estimate,std.error,statistic,p.value,conf_low,conf_high
accommodates:neighbourhood_cleansedOsdorp,0.05710384826179287,0.038337317326323686,1.4895108015965284,0.13644270454678148,-0.01806181766941329,0.13226951419299904
accommodates:neighbourhood_cleansedOud-Noord,0.060949989369692995,0.03273381887400283,1.861988349245111,0.06268819521251491,-0.0032292350969723993,0.1251292138363584
accommodates:neighbourhood_cleansedOud-Oost,0.08883546825161677,0.032663578394658596,2.7197102282627994,0.0065660696371897765,0.02479396005654902,0.15287697644668452
accommodates:neighbourhood_cleansedSlotervaart,0.07922683228088183,0.03392234942700708,2.335534938444029,0.019571508580961787,0.012717327640052886,0.14573633692171079
accommodates:neighbourhood_cleansedWatergraafsmeer,0.07488026541583834,0.03325623215427569,2.2516160299960837,0.024408101667100852,0.009676776737653561,0.14008375409402313
accommodates:neighbourhood_cleansedWesterpark,0.09057388533397545,0.03242298527406312,2.7935085115814533,0.0052422242655692786,0.027004093560119263,0.15414367710783164
accommodates:neighbourhood_cleansedZuid,0.09825887233865564,0.03218606700400105,3.052838743125747,0.0022838522282319497,0.03515359192820301,0.16136415274910826
accommodates:room_typeHotel room,0.46745200981138957,0.07538807076661279,6.200609792211457,6.277539187813362e-10,0.31964316616675426,0.6152608534560249
accommodates:room_typePrivate room,-0.005577185172667276,0.0062268753061436,-0.895663538848237,0.3704938725676713,-0.01778584403820271,0.00663147369286816
accommodates:room_typeShared room,0.03363531607038402,0.07626023185875888,0.4410597142253618,0.6591969168311518,-0.11588352122697451,0.18315415336774257
review_scores_rating:room_typeHotel room,-0.12298752739055041,0.07991312238975071,-1.539015417151617,0.12389061987980486,-0.2796683668436327,0.03369331206253193
review_scores_rating:room_typePrivate room,0.07818140921940744,0.018306587693059168,4.270670784214442,2.0004710593203488e-5,0.04228878681277939,0.1140740316260355
review_scores_rating:room_typeShared room,-0.0281717356635776,0.351873216569904,-0.08006217676411564,0.9361923663468925,-0.7180683296715192,0.6617248583443641
